"","ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","external_gene_name"
"4","ENSXETG00000000616",333.307713513057,10.7212963364788,2.97725124866102,3.60107207656748,0.000316907697707984,0.0409067882230631,"COL22A1"
"15","ENSXETG00000002993",392.970628935661,10.7179333986376,2.75949172539057,3.88402447451466,0.000102741558812702,0.0196277473955785,"RYR1"
"44","ENSXETG00000008477",8813.02133297835,10.6722175688504,2.50075380420612,4.26760025353168,1.97586982461207e-05,0.00484534320239001,"nphp3"
"14","ENSXETG00000002952",149.698783752459,10.5697035293558,2.96725390660643,3.56211630754715,0.000367877331550258,0.0443829059041777,"MUL1"
"62","ENSXETG00000013238",406.614593758028,10.5336780374665,2.98093910425974,3.53367769989464,0.000409820494154035,0.0460541807077569,"fos"
"88","ENSXETG00000018718",6817.83586454017,10.2958926513892,2.41272780253364,4.26732457783979,1.97831223715672e-05,0.00484534320239001,"hnrnpul1"
"38","ENSXETG00000007344",1647.48016074138,10.2224450589307,2.5001273629373,4.08876972048366,4.33667097474411e-05,0.0101033856465258,"cldn8.4"
"42","ENSXETG00000007941",825.965566702034,9.93225029282094,2.25717010920632,4.40031092575179,1.08095879073057e-05,0.0030368583438407,"enpp2"
"11","ENSXETG00000002776",1040.23183385336,9.85454597062372,2.62742490974784,3.7506479953292,0.000176378164476813,0.0290476590876297,"ptpn4"
"71","ENSXETG00000015091",227.211912862686,9.84183465857506,2.77361502091479,3.54837804971544,0.000387611443189617,0.0446080060885208,"osbpl1a"
"90","ENSXETG00000019012",6347.97063497117,9.82594742582951,2.41712704899791,4.06513485913085,4.80046961007908e-05,0.0108182234658962,"elmod3"
"29","ENSXETG00000005422",5181.27816597151,9.79567754145622,2.4693749890241,3.96686513186379,7.28241738190791e-05,0.0148003512408477,"ret"
"85","ENSXETG00000017636",192.029252012749,9.75075514978611,2.77974384382757,3.50778909770326,0.000451847108594232,0.0476097680185839,"mab21l2"
"55","ENSXETG00000011147",5972.47995885634,9.65796771375457,2.74901714937306,3.51324389371568,0.000442670936303397,0.0476097680185839,"crisp1.3"
